% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 14:34
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1.1E-11                    ewfd.normE (V/m) @ lambda=1.1E-11
0                         3.3061224489795914E-8    2.636632653061224E-7     7904516.660090532+485170.309692978i               8238687.84186441
0                         3.3061224489795914E-8    2.8184693877551024E-7    7739070.704097528+1223235.4930410094i             8126877.236322919
0                         3.3061224489795914E-8    3.0003061224489794E-7    7428740.095701382+1908880.1326579277i             7939831.453357035
0                         3.3061224489795914E-8    3.1821428571428575E-7    6973524.834902082+2542104.2285437393i             7675576.115258149
0                         3.3061224489795914E-8    3.3639795918367346E-7    6329078.4502646765+3008713.845492247i             7377431.088402609
0                         3.3061224489795914E-8    3.5458163265306127E-7    5441793.5101142395+2922758.299404642i             6671899.722404451
0                         3.3061224489795914E-8    3.72765306122449E-7      4485639.105960699+2633459.120261468i              5781086.048328375
0                         3.3061224489795914E-8    3.909489795918368E-7     3470524.446796496+2225179.476726238i              4832494.9832584355
0                         3.3061224489795914E-8    4.091326530612245E-7     2270787.6084192987+1224543.0373983136i            3933058.702177395
0                         3.3061224489795914E-8    4.273163265306122E-7     1171752.4499624737+763503.7076842745i             3338839.753632498
0                         3.3061224489795914E-8    4.455E-7                 10006.78462918694+43322.024568277586i             3268346.274163606
0                         4.959183673469387E-8     -4.455E-7                -13560.00795418579-39655.290370292074i            4337452.75190142
0                         4.959183673469387E-8     -4.2731632653061225E-7   1146382.3622313007+741195.0757139123i             4411639.705989127
0                         4.959183673469387E-8     -4.091326530612245E-7    2289699.065827043+1455100.7177559696i             4898711.542873708
0                         4.959183673469387E-8     -3.9094897959183674E-7   3466454.2628909927+2256962.551859975i             5687426.114770536
0                         4.959183673469387E-8     -3.72765306122449E-7     4503902.663645918+2760220.2804893292i             6640332.961848095
0                         4.959183673469387E-8     -3.545816326530612E-7    5419873.464428169+2971971.345244682i              6942049.775411112
0                         4.959183673469387E-8     -3.3639795918367346E-7   6363010.00123592+3103635.8397864546i              8058122.83877126
0                         4.959183673469387E-8     -3.1821428571428575E-7   7004002.571833725+2756034.965699834i              8260260.2039183825
0                         4.959183673469387E-8     -3.0003061224489794E-7   7545599.990723222+2268040.45344695i               8419872.982812556
0                         4.959183673469387E-8     -2.8184693877551024E-7   7877479.197331165+1544817.792632658i              8422226.250671513
0                         4.959183673469387E-8     -2.636632653061224E-7    7926466.497373363+309115.442473796i               8292590.465811908
0                         4.959183673469387E-8     -2.454795918367347E-7    7553566.694527706-953953.6994223726i              7883860.133890087
0                         4.959183673469387E-8     -2.2729591836734696E-7   6988573.437783232-2270486.8957013236i             7495994.810305565
0                         4.959183673469387E-8     -2.091122448979592E-7    6194510.960150958-3577089.799908408i              7804224.4482276505
0                         4.959183673469387E-8     -1.9092857142857144E-7   5535057.027073387-4233870.143677998i              7466678.27278459
0                         4.959183673469387E-8     -1.7274489795918368E-7   5154151.8498653285-4875809.081521i                7434788.195864319
0                         4.959183673469387E-8     -1.5456122448979592E-7   4807151.794698605-5525492.078240085i              7588236.311173549
0                         4.959183673469387E-8     -1.3637755102040816E-7   4532710.765175978-6072852.375210028i              7779147.538696265
0                         4.959183673469387E-8     -1.181938775510204E-7    4331479.124394262-6517000.457713581i              7976476.34083039
0                         4.959183673469387E-8     -1.0001020408163265E-7   3917483.4300049613-7007427.358707476i             8149625.287830915
