% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.2.0.658
% Date:               Jul 1 2026, 15:01
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Electric field, y-component, Electric field norm
% Length unit:        m
% X                       Y                        Z                        ewfd.Ey (V/m) @ lambda=1.6E-11                    ewfd.normE (V/m) @ lambda=1.6E-11
0                         3.304576954683778E-8     3.365668516841317E-7     -1171380.5495774033-4952905.013308781i            5367129.670366274
0                         3.304576954683778E-8     3.547596544778685E-7     -1017881.3121150482-4368333.385646994i            4793006.94583052
0                         3.304576954683778E-8     3.7295245727160544E-7    -851347.0192830566-3703291.6827643346i            4159521.058354352
0                         3.304576954683778E-8     3.9114526006534226E-7    -611073.8662806533-2828446.1511446037i            3336605.394687175
0                         3.304576954683778E-8     4.093380628590791E-7     -373896.4078532965-1898468.4714680542i            2534817.76923555
0                         3.304576954683778E-8     4.27530865652816E-7      -140962.68668429682-898282.0990710447i            1859993.2698399823
0                         3.304576954683778E-8     4.457236684465528E-7     87727.2972263439+172112.96604641125i              1632048.860037069
0                         4.956865432025667E-8     -4.457236684465528E-7    -90690.44728571849-167351.44842163514i            2375282.8063166877
0                         4.956865432025667E-8     -4.2753086565281595E-7   -341042.23259926843-1233487.6815555184i           2686578.617729079
0                         4.956865432025667E-8     -4.0933806285907913E-7   -595711.7828775095-2223917.1772551863i            3305564.559339285
0                         4.956865432025667E-8     -3.9114526006534226E-7   -948788.8051240202-3315748.5624355623i            4239135.964059207
0                         4.956865432025667E-8     -3.7295245727160544E-7   -1113271.5109748936-3995770.2408282715i           4813543.939724526
0                         4.956865432025667E-8     -3.5475965447786856E-7   -1265416.1342007983-4589871.208379855i            5347375.575092912
0                         4.956865432025667E-8     -3.365668516841317E-7    -1403988.670172301-5112711.531576208i             5844725.226390426
0                         4.956865432025667E-8     -3.1837404889039487E-7   -1516667.330512729-5368055.648216045i             6127350.443329826
0                         4.956865432025667E-8     -3.0018124609665805E-7   -1588081.5302615988-5427711.628094247i            6109842.878559196
0                         4.956865432025667E-8     -2.819884433029212E-7    -1642777.2800349211-5368379.00205406i             5999949.243679823
0                         4.956865432025667E-8     -2.637956405091843E-7    -1567389.6412420573-5238406.444508196i            5837198.103639919
0                         4.956865432025667E-8     -2.456028377154475E-7    -1388190.6405699318-4792983.4789135065i           5437867.039244834
0                         4.956865432025667E-8     -2.2741003492171061E-7   -1207584.4878022792-4222591.186294034i            4952335.223632529
0                         4.956865432025667E-8     -2.0921723212797377E-7   -1071497.2049629223-3572672.1962637966i           4145112.8475795006
0                         4.956865432025667E-8     -1.9102442933423692E-7   -1115868.2115705519-2829246.3499912582i           3497493.8415669324
0                         4.956865432025667E-8     -1.728316265405001E-7    -1187430.542735884-2144127.646504821i             2957784.1003870093
0                         4.956865432025667E-8     -1.5463882374676323E-7   -1286838.0484343925-1518725.0988833662i           2551328.013811667
0                         4.956865432025667E-8     -1.3644602095302636E-7   -1414770.430788491-954503.618849058i              2305155.1277060504
0                         4.956865432025667E-8     -1.1825321815928954E-7   -1234997.0640428432-620612.9858877612i            2154496.3500915016
0                         4.956865432025667E-8     -1.0006041536555267E-7   -1341466.894301992-280900.725440564i              2131855.9166353014
0                         4.956865432025667E-8     -8.186761257181585E-8    -1468560.8698128238+9358.430464409443i            2183966.6904859366
0                         4.956865432025667E-8     -6.367480977807897E-8    -1277284.078080079+182216.1745749963i             1954359.7684971099
0                         4.956865432025667E-8     -4.5482006984342155E-8   -1275873.080237236+328495.35251495446i            1932410.2919296997
0                         4.956865432025667E-8     -2.7289204190605282E-8   -1306923.9927431957+441232.9385080285i            1967443.6911425246
0                         4.956865432025667E-8     -9.09640139686841E-9     -1370436.8155979586+520428.9325542167i            2052419.3318409906
0                         4.956865432025667E-8     9.09640139686841E-9      -1216543.0019008517+537584.6923494173i            1854516.467241039
0                         4.956865432025667E-8     2.7289204190605282E-8    -1158464.4661035389+430500.75062924635i           1776087.1141710305
0                         4.956865432025667E-8     4.5482006984342155E-8    -1139053.9543350034+295601.6488645039i            1748384.0074383577
0                         4.956865432025667E-8     6.367480977807897E-8     -1205099.650768389+142395.25687104886i            1861688.269401226
0                         4.956865432025667E-8     8.18676125718158E-8      -1164249.1781103117-111543.68878764677i           1839786.934313473
0                         4.956865432025667E-8     1.0006041536555261E-7    -1147707.685049314-411091.52117319487i            1881051.020480074
0                         4.956865432025667E-8     1.1825321815928954E-7    -1155475.1715853962-756248.2402855965i            2001512.8689062046
0                         4.956865432025667E-8     1.3644602095302636E-7    -964694.521075573-1232976.728203032i              2235574.547992723
0                         4.956865432025667E-8     1.5463882374676318E-7    -921893.6000278214-1682156.0422353437i            2567133.345821687
0                         4.956865432025667E-8     1.728316265405001E-7     -938088.9018440454-2181766.077898332i             2990715.8537680213
0                         4.956865432025667E-8     1.9102442933423692E-7    -887275.3405763766-2861010.75027615i              3704310.8079535947
