% Model:              omc_unitcell_iso.mph
% Version:            COMSOL 6.3.0.420
% Date:               Jul 16 2026, 12:32
% Dimension:          3
% Nodes:              2500
% Expressions:        2
% Description:        Displacement field, Y-component, Displacement field, Z-component
% Length unit:        m
% X                       Y                        Z                        v (m) @ 8.8015 GHz                                w (m) @ 8.8015 GHz
0                         7.699361964504864E-8     3.913059381630264E-7     4.868028513716922E-16                             1.7025771023098915E-13
0                         9.239234357405837E-8     -3.913059381630264E-7    -1.936614425466648E-16                            -1.8698124414091613E-13
0                         9.239234357405837E-8     -3.753342672175967E-7    1.2904970127716444E-14                            -1.8703577618795522E-13
0                         9.239234357405837E-8     -3.593625962721671E-7    2.318588237032979E-14                             -1.8822927381428855E-13
0                         9.239234357405837E-8     -3.4339092532673743E-7   3.2702390745478504E-14                            -1.9015728053978794E-13
0                         9.239234357405837E-8     -3.2741925438130776E-7   4.278227826129583E-14                             -1.899337453798873E-13
0                         9.239234357405837E-8     -3.1144758343587815E-7   NaN                                               NaN
0                         9.239234357405837E-8     -2.954759124904485E-7    NaN                                               NaN
0                         9.239234357405837E-8     -2.7950424154501886E-7   NaN                                               NaN
0                         9.239234357405837E-8     -2.635325705995892E-7    NaN                                               NaN
0                         9.239234357405837E-8     -2.4756089965415953E-7   NaN                                               NaN
0                         9.239234357405837E-8     -2.3158922870872991E-7   NaN                                               NaN
0                         9.239234357405837E-8     -2.1561755776330025E-7   NaN                                               NaN
0                         9.239234357405837E-8     -1.996458868178706E-7    NaN                                               NaN
0                         9.239234357405837E-8     -1.8367421587244096E-7   NaN                                               NaN
0                         9.239234357405837E-8     -1.677025449270113E-7    NaN                                               NaN
0                         9.239234357405837E-8     -1.5173087398158168E-7   NaN                                               NaN
0                         9.239234357405837E-8     -1.3575920303615201E-7   NaN                                               NaN
0                         9.239234357405837E-8     -1.1978753209072235E-7   NaN                                               NaN
0                         9.239234357405837E-8     -1.0381586114529273E-7   NaN                                               NaN
0                         9.239234357405837E-8     -8.784419019986307E-8    NaN                                               NaN
0                         9.239234357405837E-8     -7.187251925443345E-8    NaN                                               NaN
0                         9.239234357405837E-8     -5.590084830900378E-8    NaN                                               NaN
0                         9.239234357405837E-8     -3.9929177363574116E-8   NaN                                               NaN
0                         9.239234357405837E-8     -2.39575064181445E-8     NaN                                               NaN
0                         9.239234357405837E-8     -7.985835472714834E-9    NaN                                               NaN
0                         9.239234357405837E-8     7.985835472714834E-9     NaN                                               NaN
0                         9.239234357405837E-8     2.3957506418144448E-8    NaN                                               NaN
0                         9.239234357405837E-8     3.9929177363574116E-8    NaN                                               NaN
0                         9.239234357405837E-8     5.590084830900378E-8     NaN                                               NaN
0                         9.239234357405837E-8     7.18725192544334E-8      NaN                                               NaN
0                         9.239234357405837E-8     8.784419019986301E-8     NaN                                               NaN
0                         9.239234357405837E-8     1.0381586114529268E-7    NaN                                               NaN
0                         9.239234357405837E-8     1.1978753209072235E-7    NaN                                               NaN
0                         9.239234357405837E-8     1.3575920303615201E-7    NaN                                               NaN
0                         9.239234357405837E-8     1.5173087398158168E-7    NaN                                               NaN
0                         9.239234357405837E-8     1.6770254492701124E-7    NaN                                               NaN
0                         9.239234357405837E-8     1.836742158724409E-7     NaN                                               NaN
0                         9.239234357405837E-8     1.9964588681787058E-7    NaN                                               NaN
